Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
Auto 8-8 Ålesund AS,Brusdalsvegen 207,6011,ÅLESUND,"BILVERKSTED01, KONTROLLORGAN01",982779529,7420
AUTOGLASS AS avd. Sotra,Einarsengården,5343,STRAUME,BILGLASS,968552732,29848
ALTA CARAVAN AS,KLEGGVEIEN 3,9514,ALTA,HENGERESPALOPSBREMSEANLEGG,991172130,30425
ERIK TVEITEN,HELLEVEIEN 50,4595,TINGVATN,HJUL,816798442,30223
FANABILFORRETNING AS,Ulsmågvegen 35,5224,NESTTUN,BILVERKSTED01,994599321,29250
BREILI BIL AS,BREILIVEIEN 41,3217,SANDEFJORD,"BILVERKSTED01B, KONTROLLORGAN01B",915108172,29280
AK Maskin AS avd. Sarpsborg,Lilletunveien 8,1711,SARPSBORG,TRAKTOR,946468037,19939
"Berge & Co AS, Avd. Stryn",TONNINGSGATA 33,6783,STRYN,"BILVERKSTED01B, KONTROLLORGAN01B",951435325,7134
TALIB KARMØY BILPLEIE EKSPRESS,ERLING SKJALGSSONS GATE 43,5523,HAUGESUND,HJUL,914847192,28454
FLORØ BILVERKSTED AS,MARKEGATA 58,6900,FLORØ,"BILVERKSTED01, KONTROLLORGAN01",923887636,31391
BILSENTERET FOSSEGRENDA AS,Fossegrenda 34,7038,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",912616290,8127
Lunde Autoverksted AS,Hofvegen 236,2266,Arneberg,"BILVERKSTED01, KONTROLLORGAN01",928241157,2418
PETERSEN OG SKOGHEIM SERVICESENTER  A/S,MIDTSTRANDA 45,2307,HAMAR,"BILVERKSTED01, KONTROLLORGAN01",985072000,2010
Møller Bil Larvik,Elveveien 21,3262,LARVIK,"BILVERKSTED01B, KONTROLLORGAN01",946967874,4608
HEGGHOLMEN BIL AS,ALVØYVEGEN 23,5336,TJELDSTØ,"BILVERKSTED01, KONTROLLORGAN01",921440650,31028
LEKSVIK BILVERKSTED AS,"Liafossvegen, Ytterelva Industriområde",7120,Leksvik,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED, TRAKTOR",944896511,8640
Bø Auto AS,Bøgata 111,3800,Bø i Telemark,"BILVERKSTED01, KONTROLLORGAN01",998510880,5105
Scan Tank Auto AS,Nordre Brurås 33,5131,NYBORG,"BILVERKSTED02, BILVERKSTED03, PABYGGER",998615089,22820
Din firmabil AS,BEKKEVEIEN 11,3236,SANDEFJORD,"BILVERKSTED01, KONTROLLORGAN01",917941769,30541
Vianor AS avd. Harstad,Klubbholmen 1B,9409,HARSTAD,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR",935429447,29283
Brdr. Ellefsens Eftf. AS,Kranveien 58 B,4950,Risør,"BILVERKSTED01B, KONTROLLORGAN01B",994705407,5309
SLATLEM BILSENTRUM A/S,Bedriftsveien 11,6517,Kristiansund N,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B",959116059,7896
GJELLARN LAKK AS,GJELLARN 77,2240,MAGNOR,BILGLASS,995366924,29660
ÅS GLASSMESTERFORRETNING AS,JOHAN k. SKANCKESV 2,1430,ÅS,BILGLASS,975962121,28693
RIIS MONTASJE AS AVD ASKER,Alfheim 24,1386,ASKER,BILGLASS,921979436,31648
Currus Bilverksted AS,Sivesindvegen 14,2827,HUNNDALEN,BILVERKSTED01,918738835,24460
Hurtigruta Carglass AS Kokstad,Kokstadveien 31 D,5257,KOKSTAD,BILGLASS,985758220,30585
SOLA TURBUSSER OG SOLA SERVICENTER ANS,FLYPLASSVEGEN 215,4055,SOLA,HJUL,917585741,30591
Brovold Verksted AS,Vestringsveien 1,2651,ØSTRE GAUSDAL,"BILVERKSTED01, KONTROLLORGAN01",998539420,18119
Nordic Last og Buss AS avd. Leknes,Bolleveien 3,8370,Leknes,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",979463332,9260
FINSTAD GLASS AS,STORGATA 81,8370,LEKNES,BILGLASS,967901172,29000
HAUGSBØ BIL OG KAROSSERI AS,BYGSTAD,6977,BYGSTAD,"BILVERKSTED01, KONTROLLORGAN01",976549112,7035
RØHNESELMER AS avdeling Gardermoen,Trondheimsveien 251,2067,JESSHEIM,"BILVERKSTED01, KONTROLLORGAN01",933823970,31996
AUTOFILM AS,LIERVEGEN 12,2164,SKOGBYGDA,BILGLASS,920566146,30934
VUKU BILSENTER AS,Bredingsberg 7,7660,Vuku,"BILVERKSTED01B, KONTROLLORGAN01B",928009459,8560
DEKK OG SERVICE AVD. BRYNE,BEDRIFTSVEGEN 5,4344,BRYNE,HJUL,991742689,31557
Solgårds Auto AS,Idrettsveien 4,1640,Råde,"BILVERKSTED01B, KONTROLLORGAN01B",999003001,511
AUTO FIRE AS,Bomvegen 8,7725,Steinkjer,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",947631055,8643
KJELLERHOLEN BILVERKSTED AS,Fetveien 35,2007,KJELLER,"BILVERKSTED01, KONTROLLORGAN01",820246152,17219
Sauda Bilverksted AS,BIRKELANDSVEGEN 122,4200,SAUDA,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",913847881,24524
Ullensvang Kommune Verksted,"Lindenes, Tyssedalvegen 331",5750,ODDA,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN02",920500633,6730
Kongsberg Bilskade AS,Sportsveien 13,3615,KONGSBERG,"LYSUTSTYR, SKADEVERKSTED02",984936702,26361
FALCK REDNING AS,"Østre Akersvei 60, Bygg B",581,OSLO,HJUL,886768052,30639
Vadsø Bil og Motor AS,Sør-Varangerveien 4,9800,VADSØ,"BILVERKSTED01, KONTROLLORGAN01",981882695,9741
HLM BILVERKSTED AS,Gamle Leirdals vei 8,1081,OSLO,"BILVERKSTED01, KONTROLLORGAN01",813259672,31483
Riis Montasje avd 843 Lierstranda,Lierstranda 55,3414,LIERSTRANDA,BILGLASS,921979436,29542
SALTVEDT AUTO AS,Fjellvegen 2,5532,HAUGESUND,"BILVERKSTED01, SKADEVERKSTED02",917439001,6436
Jensen & Scheele Auto AS,Vestgårdveien 3-5,1788,HALDEN,"BILVERKSTED01, KONTROLLORGAN01",988629820,447
BOGEN AS,Bogen,7982,Bindalseid,"BILVERKSTED01, KONTROLLORGAN01",956405629,8846
BJØRN BERGE BENSINSTASJON AS,SAM EYDES GATE 55,3660,RJUKAN,"HJUL, LYSUTSTYR",980148831,29863
Bilmakern  AS,Lierstranda 128 A,3400,DRAMMEN,BILVERKSTED01,961650429,3712
Valdres Auto AS,Bygdinvegen 59,2900,FAGERNES,"BILVERKSTED01B, KONTROLLORGAN01",979434421,3209
Volmax AS Skadesenter,Borgeskogen 48,3160,STOKKE,SKADEVERKSTED02,984674104,4662
ERIK BERG MASKIN,Hektnerveien 2,2008,FJERDINGBY,HJUL,995528355,30926
DINE DEKK AS,Minde Allè 35,5068,BERGEN,HJUL,996048942,30038
Vennesla Bilteknikk A/S,Vikeland,4700,VENNESLA,"BILVERKSTED01, KONTROLLORGAN01",977533341,5634
AKSETH AUTO AS,Steinsvegen 41,7863,OVERHALLA,"BILVERKSTED01, KONTROLLORGAN01",918718672,31320
DEKKSENTRALEN STAVANGER AS,FINNESTADSVINGEN 6,4029,STAVANGER,HJUL,984106130,31606
MJØNDALEN AUTO,DRAMMENSVEIEN 34,3050,MJØNDALEN,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",980815773,3647
AUTO-ELEKTRO A/S,Kariveien 7,8008,Bodø,BILVERKSTED01,961291569,9089
ROMSDAL DEKK & ANTIRUST AS,VASSKORVEGEN 219,6490,EIDE,HJUL,916580371,31010
Møller Bil Ensjø,Grenseveien 65,663,OSLO,"BILVERKSTED01, KONTROLLORGAN01",917805717,1415
FELLESKJØPET AGRI SA avd. Storsteinnes,Sørkjosveien 396,9050,STORSTEINNES,"BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR",911608103,31571
STENE JOHANSEN AS,GRAVSÅSVEIEN 31,1860,TRØGSTAD,HJUL,998643511,32037
Bertel O. Steen Lastebil og Buss avd. Telemark,Bedriftsvegen 120,3735,SKIEN,"ALKOLASVERKSTED, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",928787931,4884
Werksta Ensjø AS,Gladengveien  8,553,Oslo,SKADEVERKSTED02,880252372,1597
MAGNUS MOTOR A/S,Strykerveien 7,1658,TORP,"BILVERKSTED01B, KONTROLLORGAN01B",980909816,336
RIIS MONTASJE AS avd. Sveberg,Vuluvegen 301,7563,MALVIK,BILGLASS,921979436,31531
SKOGLUND MC,BALDERS VEI 3,1900,FETSUND,MOTORSYKKELOGMOPED,996740242,30112
Revetal Jernvare AS,Revetalgaten 14,3174,REVETAL,MOTORSYKKELOGMOPED,884198852,23880
DEKKMANN AS avd. Skien,Rødmyrlia 9,3740,SKIEN,HJUL,966242825,30729
"MØLLER BIL Øst AS, avd. Skadesenter Alnabru",Alfasetveien 11,668,OSLO,"BILVERKSTED01, KONTROLLORGAN01",917805717,32376
BILSTELLET AS,Dystlinna 15,2847,KOLBU,"BILVERKSTED01, KONTROLLORGAN01",921973039,31036
Real Bil AS,Vollenveien 133,1389,HEGGEDAL,"BILVERKSTED01, KONTROLLORGAN01",991441220,929
Dahle Bil og Motor,Vikaneveien 76,1622,GRESSVIK,BILVERKSTED01,974474743,311
Kvål Auto AS,Hovebakken 9,4306,Sandnes,"BILVERKSTED01, KONTROLLORGAN01",987972726,6178
FN Proservice,Nybruveien 9B,3055,KROKSTADELVA,"BILVERKSTED01, KONTROLLORGAN01",895223212,18679
"DEKKMANN AS , avd. Stavanger",Gamle Forusv 37 - 39,4031,STAVANGER,"BILVERKSTED01, HJUL, KONTROLLORGAN01",974292750,29279
VIANOR AS avd. Øyer,Fiskehusveien 35,2636,ØYER,HJUL,935429447,31888
NAF Senter Harstad,Stangnesveien 52,9409,HARSTAD,KONTROLLORGAN01,987372540,9420
DEKKMANN AS HAUGESUND,Industrigata 8,5537,HAUGESUND,"HJUL, HJULUTRUSTNING",966242825,30552
Norsk Scania AS avd. Kristiansand,Barstølveien 14,4636,KRISTIANSAND S,"BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03, SKADEVERKSTED02",879263662,5697
HE-plan AS,Sivavegen 9,7820,SPILLUM,PABYGGER,929946774,8727
Alfie Bilskade AS,Rødmyrlia 13,3735,SKIEN,SKADEVERKSTED02,992849975,4871
VIANOR AS avd. Røros,Osloveien 25,7374,RØROS,"BILVERKSTED01, HJUL, KONTROLLORGAN01",935429447,29629
HALDEN BILSENTER AS,SVINESUNDSVEIEN 345,1788,HALDEN,"BILVERKSTED01B, KONTROLLORGAN01B",915279112,28954
HJEM DEKK AS,Grønamyrvegen 8,5353,STRAUME,HJUL,914055644,29273
Frank Kjosbakken A/S,Dalstuveien 7,2340,Løten,"BILVERKSTED01, KONTROLLORGAN01",938487936,2054
ATV GÅRDEN AS,NORDSJØVEGEN 520,4352,KLEPPE,TRAKTOR,976868129,31461
Skipnes Mek. Verksted AS,Vihals,6697,VIHALS,"BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR",980656667,19602
CARGLASS AS AVD TRONDHEIM NORD,Falkenborgvegen 35,7044,TRONDHEIM,BILGLASS,985758220,28771
Dyretransport Service AS,Sørbygda,7288,SOKNEDAL,PABYGGER,981017048,16438
TESLA MOTORS NORWAY AS avd. Kristiansand,Avenyen 21,4636,KRISTIANSAND S,"BILVERKSTED01, KONTROLLORGAN01",997433173,29403
Oddemarka Auto AS,Østre Ringvei 86,4632,KR.SAND,"BILVERKSTED01, KONTROLLORGAN01",980229661,5636
Auto Bilskade AS,Industrivegen 53,2072,DAL,SKADEVERKSTED02,991202447,10450
Jan`s Bilberging,Grandavegen 21,6783,STRYN,BILVERKSTED01,878618742,14658
VIANOR AS AVD. SKI,Dynamitveien 11,1400,SKI,HJUL,935429447,31920
Wist Last & Buss avd. Ålesund,Digernes næringsområde 20,6260,SKODJE,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, HJULUTRUSTNING, KONTROLLORGAN04, PABYGGER, SKADEVERKSTED01, TRAKTOR",958315120,7391
"Felleskjøpet Agri SA, Bergen",Nordre Brurås 5,5131,NYBORG,TRAKTOR,911608103,19423
LEOS DEKKSENTER RUSITI,Skarpelunden 1,4623,KRISTIANSAND S,HJUL,828135112,32020
MØLLER BIL TRONDHEIM AS,Ingvald Ystgaardsv.19-21,7047,TRONDHEIM,"ALKOLASVERKSTED, BILVERKSTED01B, KONTROLLORGAN01B",834874482,8034
"FORSVARET, FLO Verksted Værnes","Værnes Garnison, Bygg 188",7502,STJØRDAL,BILVERKSTED01B,986105174,28033
Moland Auto AS,Molandsmoen,3870,Fyresdal,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",957152872,5132
BYKLE MASKIN AS,SARVSNETTEN 39,4754,BYKLE,"BILVERKSTED01B, KONTROLLORGAN01B",957392032,30820
BRENNE DEKK AS,GRÅMYRA,7608,LEVANGER,HJUL,999603556,28772
Toyota Sunnmøre AS,Torvmyrane 11,6161,HOVDEBYGDA,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",984219237,7560
Solberg Autoservice AS,Høyjordveien 710,3158,ANDEBU,"BILVERKSTED01, KONTROLLORGAN01",999660312,23960
Bussbygg AS,Skålavegn 1002,6456,Skåla,"PABYGGER, SKADEVERKSTED02",957036813,7642
Øystein Heggem,Kortgården,6455,Kortgården,BILVERKSTED01,981224140,7720
IBOBIL AS,Strandvegen 144B,9006,TROMSØ,"BILVERKSTED01B, KONTROLLORGAN01B",913945794,31312
DURO BILSERVICE AS,PRODUKSJONSVEIEN 11,1618,FREDRIKSTAD,"BILVERKSTED01, HJUL, SKADEVERKSTED02",998304768,30647
Eidsvoll Auto AS,Findstadveien 200,2072,DAL,"BILVERKSTED01, KONTROLLORGAN01",915627587,1206
O.M. GREFSTAD AS,Løkkenveien 386,7332,LØKKEN VERK,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",912072150,8311
Åkra Bil AS,Diktervegen 8,5538,Haugesund,"BILVERKSTED01B, KONTROLLORGAN01B",977189187,6455
SVEINAR SÆTHERBERGET,JØVIKSVEGEN 113,2240,MAGNOR,BILVERKSTED01,985682313,31403
"Møller Bil Innlandet AS, Møller Bil Lillehammer",Industrigata 52 A,2605,LILLEHAMMER,"BILVERKSTED01B, KONTROLLORGAN01B",976951336,2602
Ryesbilsenter AS,Verftsbassenget 5,3188,HORTEN,"BILVERKSTED01B, KONTROLLORGAN01B",986618643,4178
THANSEN AS avd. Klepp,SOLAV. 25,4352,KLEPPE,HJUL,923897682,31035
BERG BIL AS,Båstadlundveien 6,1781,HALDEN,"BILVERKSTED01, KONTROLLORGAN01",964348030,446
Grindheim Bil og Mek. verksted AS,Audnedalsveien 4493,4529,Byremo,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",976244397,5761
Urianstad Rep og Karosseri AS,Urianstad 16,1458,FJELLSTRAND,PABYGGER,895357952,16538
Osloveien Bil AS,Osloveien  5,1831,Askim,"BILVERKSTED01, KONTROLLORGAN01",827400602,202
NAF  Senter Moss,Ryggev 78,1523,Moss,"BILVERKSTED01, KONTROLLORGAN01B",987372540,575
Garberg AS,Eitrheim,5750,Odda,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04",968329618,6755
DRØBAK BILGLASS AS,OSLOVEIEN 65,1443,DRØBAK,"BILGLASS, HJUL",993014664,28400
Møller Bil Egersund,Fossveien 4,4370,EGERSUND,"BILVERKSTED01B, KONTROLLORGAN01, SKADEVERKSTED02",933625583,6206
SÆTRE BILSERVICE A/S,NORDRE SÆTREVEI 10,3475,SÆTRE,"BILVERKSTED01, KONTROLLORGAN01",950429437,3727
MIDT-NORGE BIL SNÅSA AS,Snåsa,7760,Snåsa,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",957722644,8651
AUTO PARTS AS,GIDSKEN JAKOBSENS VEI 38,8008,BODØ,HJUL,939537732,29760
Skjetlein videregående skole,Skjetleinsveien 114,7083,LEINSTRAND,"BILVERKSTED01, MOTORSYKKELOGMOPED, TRAKTOR",817920632,8063
"Bilia Norge AS, Drammen BMW",Industrigata 2,3414,LIERSTRANDA,"BILVERKSTED01, KONTROLLORGAN01",976023188,31327
Norsk Scania AS avd. Lyngdal,Kvåvikveien 14,4580,Lyngdal,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,5769
TOYOTA HADELAND,Garveriveien 3,2740,ROA,"BILVERKSTED01, KONTROLLORGAN01",945800232,30385
WASHLAND ALNABRU AS,BEDRIFTSVEIEN 10,950,OSLO,HJUL,917215219,31501
VIKEN BILPLEIE OG SERVICE AS,BRUSLETTA 3B,2016,FROGNER,HJUL,922559848,31925
Cary Bilglass avd Nyhavna,Styrmannsgata 1,7042,TRONDHEIM,BILGLASS,913387783,29139
Vestfold Maskin AS avd. Skien,Hagebyveien 40,3734,SKIEN,"KONTROLLORGAN05, TRAKTOR",984736878,30612
Toyota Østfold & Follo AS avd. Moss,Kvaenveien 1,1529,Moss,"BILVERKSTED01, KONTROLLORGAN01",983650791,502
TIDE VERKSTED AS avd. Haugesund,Leirangergata 31,5522,HAUGESUND,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",985538220,30200
MYRVANG SERVICE AS,MEVIKVEIEN 8,8145,STORVIK,HJUL,926525824,29964
AMUNDSENS BILVERKSTED A/S,"Byflatveien 165,",2385,BRUMUNDDAL,"BILVERKSTED01, KONTROLLORGAN01",971580275,2025
TOYOTA BUSKERUD AS - avd. Kongsberg,Kobberbergsveien 6,3615,KONGSBERG,"BILVERKSTED01, KONTROLLORGAN01",947602330,24163
Seljord Bil AS Skadesenter,Århusmoen 9,3840,Seljord,SKADEVERKSTED02,963504446,5135
Liftco AS,Gamle Tindlund vei 1A,1720,Greåker,PABYGGER,985601976,135
NAF Senter Kløfta,Dyrskuevegen 5,2040,KLØFTA,KONTROLLORGAN01,987372540,21760
Ulefoss Skap AS,FABRIKKGATA 4,3830,ULEFOSS,PABYGGER,916482388,29900
Scandinavian Forest Group AS,Industrigata 16,2406,ELVERUM,PABYGGER,981654226,15819
Tinnheia Bil AS,Stålveien 2,4629,Kr.sand,"BILVERKSTED01, KONTROLLORGAN01",986902651,5647
Husnes Pit-Stop Service AS,Reset,5450,SUNDE I SUNNHORDLAND,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",991211411,11592
RIIS MONTASJE AS avd. 836,Bedriftsveien 11,3734,SKIEN,BILGLASS,921979436,28338
EV BIL AS,Jernbaneveien 19,667,OSLO,"BILVERKSTED01, KONTROLLORGAN01",924911360,31519
TruckNor Kristiansand AS,Mjåvannsveien 3,4628,Kristtiansand,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",980810208,5600
Tesla Norway AS avd. Trondheim 2,Haakon 7´s gate 12,7041,TRONDHEIM,BILVERKSTED01,914194601,31309
Felleskjøpet AGRI SA avd. Kløfta,Dyrskueveien 1,2040,KLØFTA,"KONTROLLORGAN05, TRAKTOR",911608103,18885
INDREBØ DEKK OG BIL AS,NERÅSVEGEN 274,6390,VESTNES,BILVERKSTED01,917753148,30570
BROMTECH TOM EDDIE JACOBSEN,DRASUNDVEIEN 2A,3189,HORTEN,"BILVERKSTED01, KONTROLLORGAN01",917693749,30087
Cary Bilglass avd Fredrikstad,Hans Nilsen Haugesvei 2,1661,ROLVSØY,BILGLASS,913387783,29908
Snap Drive Skytta,Industriveien 3,1481,HAGAN,"BILVERKSTED01, KONTROLLORGAN01",971585188,23820
HØNEFOSS AUTO AS,HØNENGATA 89,3515,HØNEFOSS,"BILVERKSTED01B, KONTROLLORGAN01B",924447818,31428
Skade og Lakk AS,Smørbøttaveien 7,1617,Fredrikstad,"BILVERKSTED01B, SKADEVERKSTED02",982174813,354
VIKAN BIL AS,MAGNUS LAGABØTES VEG 4,7047,TRONDHEIM,BILVERKSTED01,912470121,30655
BJØRNESET BIL AS,Myklebustvegen 61,6092,FOSNAVÅG,"BILVERKSTED01B, KONTROLLORGAN01, MOTORSYKKELOGMOPED",827603082,32319
JOHAN FLO & SØN AS,Strynevegen 61,6783,STRYN,"BILVERKSTED01, BILVERKSTED02, HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR, PABYGGER, TRAKTOR",937543581,31387
SKOTTERUD MOTORSENTER A.S.,Matranvegen 69,2230,Skotterud,"BILVERKSTED01B, KONTROLLORGAN01B",966812141,2508
DEKKSPESIALIST1 AS,SØRFLÅTVEIEN 6,4018,STAVANGER,HJUL,997868811,29237
VBK Nordic AS,Karljohansvern Bygg 31 Horten Industripark Nedre vei 8,3191,Horten,PABYGGER,979340206,4108
Robergs Auto AS,Meierigaten 2,3915,TØNSBERG,"BILVERKSTED01, KONTROLLORGAN01",914251796,28912
BILDEKK AS,FJORDAVEIEN 32,9610,RYPEFJORD,"HJUL, HJULUTRUSTNING",927763931,30625
NARDO BIL ÅLESUND AS,Lerstadvegen 540,6018,ÅLESUND,"BILVERKSTED01, KONTROLLORGAN01",966478616,7365
MB AUTO KALAND AS,Osvegen 539,5229,KALANDSEIDET,HJUL,914218241,31664
Gumpens Auto Notodden As,Inger Floods vei 1,3676,NOTODDEN,"BILVERKSTED01B, KONTROLLORGAN01",976910915,5110
E18 VAREBILSENTER AS,Elgtrekket 2,1820,SPYDEBERG,"ALKOLASVERKSTED, BILVERKSTED01B, FARTSSKRIVER, KONTROLLORGAN01B, PABYGGER",826060522,29134
"NORDVIK AS avd, Steinkjer",Kvamsvegen 791,7724,STEINKJER,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED, SKADEVERKSTED02",946549770,31049
Toyota Sørvest AS avd. Bilfiks,Vestre Svanholmen 9,4313,SANDNES,"BILVERKSTED01, KONTROLLORGAN01",937665482,30018
BRØDRENE SMEDSTUEN AS,Vålgutua 208,2436,Våler,"BILVERKSTED01B, KONTROLLORGAN01B",865866372,2425
Bilplaneten AS avd. Nesbyen,Rukkedalsvegen 446,3540,NESBYEN,"BILVERKSTED01, KONTROLLORGAN01",943839689,3523
HSK RACING AS,STORVANNSVEIEN 102,9603,HAMMERFEST,HJUL,898049302,30486
R. Helleland AS,Kjøpmannsbrotet 8,4351,KLEPPE,"BILVERKSTED01, MOTORSYKKELOGMOPED",975877620,31699
BRITISH CARS KRISTIANSAND AS,BARSTØLVEIEN 3,4636,KRISTIANSAND S,"BILVERKSTED01, KONTROLLORGAN01",820192362,30748
"FERDA NORGE AS, avdeling Mysen",RAMSTADVEIEN 15,1850,MYSEN,HENGERESPALOPSBREMSEANLEGG,919639466,31481
CARGLASS AS,C J Hansensvei 3 B,2007,KJELLER,BILGLASS,985758220,28874
AUTOPARTNER AS,Bomvegen 12B,7725,STEINKJER,"BILVERKSTED01, KONTROLLORGAN01",974695618,29174
Hemnes Bilverksted Berger,Sykehjemsvegen 14,1970,HEMNES,"BILVERKSTED01, KONTROLLORGAN01",997431650,20940
Myrland Auto AS,Europaveien 447,3960,STATHELLE,"BILVERKSTED01, KONTROLLORGAN01",917439702,4826
KN ENTREPRENØR AS,Nordfrøyveien 213,7260,SISTRANDA,HJUL,990944377,31812
Snap Drive AS avd. Hvam,Jogstadveien 27,2007,KJELLER,"BILVERKSTED01, KONTROLLORGAN01",971585188,18439
ENOKSEN TRAKTORSERVICE AS,AA,8485,DVERBERG,"HJUL, TRAKTOR",946821144,29736
Autotek Bil AS,Barstadveien 3,3089,HOLMESTRAND,"BILVERKSTED01B, KONTROLLORGAN01B",998635578,29786
BØ GLASS AS,STASJONSVEGEN 31C,3800,BØ I TELEMARK,BILGLASS,913565126,30793
Team Verksted Fjeldhus,Karihaugveien 102,1086,OSLO,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED01",946930342,30135
"Bertel O. Steen Telemark AS, lettbil avd.",Bedriftsvegen 120,3735,SKIEN,"BILVERKSTED01B, KONTROLLORGAN01B",928140903,32200
Solaris Norge AS avd. Persveien,Persveien 32,581,OSLO,BILVERKSTED03,889573732,30507
BJORLI BENSIN OG SERVICE T Hagestande,Bøvervegen 5,2669,BJORLI,HJUL,923282823,32225
Bilia Norge AS Hamar,Gjerluvegen 1B,2320,Hamar,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",976023188,2034
BILBYEN SKADESENTER FINNSNES AS,BOTNHÅGVEIEN 31,9308,FINNSNES,SKADEVERKSTED02,919638877,30696
CARTUNE NORDIC AS,SVELVIKVEIEN 61A,3039,DRAMMEN,BILVERKSTED01,917410925,30673
Vollen Truck & Parts AS,Røykenvn. 397,3440,RØYKEN,"BILVERKSTED01B, KONTROLLORGAN01B",978632254,3796
MØRK MASKIN AS,Knapstadveien 2,1823,KNAPSTAD,TRAKTOR,980390284,15738
"Møller Bil Innlandet AS, Møller Bil Kongsvinger",Industriveien 55,2212,KONGSVINGER,"BILVERKSTED01B, KONTROLLORGAN01B",976951336,12172
DEKKSPESIALISTEN AS,HYDROVEGEN 1C,3933,PORSGRUNN,HJUL,940171512,30714
"MECA SERVICE AS, avd. Fyksen Servicecenter Gjøvik",Sommerrovegen 3,2816,GJØVIK,"BILVERKSTED01, KONTROLLORGAN01",920377068,30803
BECKMEISTER AS,NORDSTRANDVEIEN 67,8012,BODØ,"BILVERKSTED01, KONTROLLORGAN01",994561030,30111
IVAR NERVIK AS,Idrettsvn. 4 B,7072,HEIMDAL,"BILVERKSTED01, SKADEVERKSTED01",970246185,8216
Prøven-Motortrade AS,Sutterøygata 1,7502,STJØRDAL,"BILVERKSTED01B, KONTROLLORGAN01B",912752100,25948
"Nardo og Melhus Bilinvest AS, avd verksted Steinkjer",MOLOVEIEN 10,7714,STEINKJER,"BILVERKSTED01, KONTROLLORGAN01",913713877,30478
AMS Motorsykkelsentret A/S,Brusdalsvn. 238,6011,ÅLESUND,MOTORSYKKELOGMOPED,963494122,7368
RSA Bil Fredrikstad,Råbekksvingen 1,1617,Fredrikstad,"BILVERKSTED01B, KONTROLLORGAN01B",915518389,355
"Handicare AS,  Auto Drammen",Teglverksveien 87,3057,SOLBERGELVA,"BILVERKSTED01B, PABYGGER",965395830,3780
BJERKREIM BILSKADE ANDRE LØVÅSEN,APELAND 47,4387,BJERKREIM,SKADEVERKSTED02,921888139,31921
TIDE VERKSTED AS avd. Møre,Wilhelm Dallsvei 44,6511,KRISTIANSUND N,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03, KONTROLLORGAN04",985538220,30180
Åros Auto Asbjørn Sagstuen,Hurumveien 43a. Åros fabrikker,3474,ÅROS,BILVERKSTED01,997254112,10150
Norsk Scania AS avd. Harstad,Russevikveien 3,9408,Harstad,"ALKOLASVERKSTED, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03, TRAKTOR",879263662,9421
Bilia Gjøvik,Bakkevegen 1 A,2827,GJØVIK,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",976023188,2907
